Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Total.Injuries
20061025X01555,Accident,NYC07LA005,1974-08-30,"Saltville, VA",United States,36.922223,-81.878056,,,Fatal(3),Destroyed,,N5142R,CESSNA,172M,No,1.0,Reciprocating,,,Personal,,3.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,26-02-2007,3.0
20170710X52551,Accident,NYC79AA106,1979-09-17,"BOSTON, MA",United States,42.445277,-70.758333,,,Non-Fatal,Substantial,Airplane,CF-TLU,MCDONNELL DOUGLAS,DC9,No,2.0,Turbo Fan,Part 129: Foreign,SCHD,,Air Canada,0.0,0.0,1.0,44.0,VMC,Climb,Probable Cause,19-09-2017,1.0
20080417X00504,Accident,MIA08CA076,1982-03-16,"MOBILE, AL",United States,30.757778,-88.355555,MOB,MOBILE REGIONAL,Fatal(1),Substantial,Airplane,N18878,BEECH,C24R,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,1.0,0.0,0.0,0.0,IMC,Landing,Probable Cause,30-04-2008,1.0
20051208X01953,Accident,SEA83LA209,1983-01-08,"Goldendale, WA",United States,46.041111,-120.849722,,,Fatal(2),Destroyed,,N8807R,BELLANCA,14-19-3,No,1.0,Reciprocating,,,Personal,,2.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,28-03-2006,2.0
20020904X01525,Accident,SEA83FA208,1983-09-09,"Kalispell, MT",United States,48.12,-113.8875,,,Fatal(2),Destroyed,,N92368,CESSNA,182N,No,1.0,Reciprocating,,,Personal,,2.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,23-07-2003,2.0
20001213X27446,Accident,LAX89LA068,1988-12-23,"Midway Islands, PO",United States,38.54,-173.24,NONE,,Non-Fatal,,Airplane,N146UA,BOEING,747SP-21,No,4.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,United Airlines,0.0,1.0,1.0,220.0,UNK,Cruise,Probable Cause,02-02-2016,2.0
20021022X05356,Accident,CHI90LA280,1989-12-01,"ENGADINE, MI",United States,46.154444,-85.663611,,,Fatal(1),Substantial,,N2440P,PIPER,PA-22-150,No,1.0,Reciprocating,,,Personal,,1.0,0.0,0.0,0.0,IMC,Unknown,Probable Cause,30-05-2003,1.0
20030411X00484,Accident,ANC91GAMS1,1990-10-11,"Deadhorse, AK",United States,70.333333,-150.933333,,,Fatal(3),Destroyed,,N45Q,GULFSTREAM AEROSPACE,690C,No,2.0,Turbo Prop,,,Public Aircraft,,3.0,0.0,0.0,0.0,VMC,Unknown,Probable Cause,30-05-2003,3.0
20170710X10920,Accident,FTW92FA224,1992-09-05,"Alpine, TX",United States,30.383611,-103.783334,,,Fatal(1),Destroyed,Helicopter,N4073S,ROBINSON,R22,No,,Reciprocating,Part 91: General Aviation,,Personal,,1.0,1.0,0.0,0.0,VMC,Unknown,Probable Cause,19-09-2017,2.0
20011127X02295,Accident,NYC96FA192,1995-11-28,"Marlinton, WV",United States,38.335,-80.28,48I,Braxton County,Fatal(1),Destroyed,,N28901,CESSNA,414,No,2.0,Reciprocating,,,Positioning,,1.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,16-01-2003,1.0
20001208X08803,Accident,CHI97FA308,1997-09-14,"St. Ignaces, MI",United States,45.928334,-84.825556,83D,Mackinac County,Fatal(2),Destroyed,Airplane,N9399W,PIPER,PA-28-235,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,2.0,0.0,0.0,0.0,IMC,Unknown,Probable Cause,27-09-2019,2.0
20001211X11043,Accident,FTW98FA380,1998-09-11,"HOUSTON, TX",United States,29.607222,-95.158611,EFD,Ellington Field,Non-Fatal,Substantial,,N316UP,BOEING,767-34AF,No,2.0,Turbo Jet,,NSCH,,,0.0,0.0,0.0,2.0,IMC,Approach,Probable Cause,26-02-2007,0.0
20041203X01907,Accident,ATL99FA136,1998-11-04,"Robbinsville, NC",United States,35.389722,-83.920556,K6A3,Andrews-Murphy,Fatal(1),Destroyed,,N2820T,PIPER,PA-28-180,No,1.0,Reciprocating,,,Personal,,1.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,28-12-2006,1.0
20001211X11573,Accident,LAX99FA051,1998-12-17,"LOS ANGELES, CA",United States,33.948611,-118.413611,LAX,Los Angeles International,Non-Fatal,Substantial,,N554CL,LEARJET,55B,No,2.0,Turbo Fan,,NSCH,Unknown,Clay Lacy (dba: Clay Lacy Aviation),0.0,0.0,0.0,7.0,VMC,Cruise,Probable Cause,25-11-2003,0.0
20001205X00119,Incident,ANC99IA027,1999-02-05,"FAIRBANKS, AK",United States,64.8,-147.866111,FAI,Fairbanks International,Incident,,,N934AS,MCDONNELL DOUGLAS,MD-82,No,2.0,Turbo Fan,,SCHD,,"Alaska Air Group, Inc (dba: Alaska Airlines)",0.0,0.0,0.0,138.0,IMC,Takeoff,Probable Cause,01-07-2002,0.0
20001212X18855,Accident,NYC99FAMS3,1999-05-06,"PLYMOUTH, MA",United States,41.908889,-70.728611,,,Fatal(1),Destroyed,,N8235Z,PIPER,PA28RT-201T,No,1.0,Reciprocating,,,Personal,,1.0,0.0,0.0,0.0,IMC,Maneuvering,Probable Cause,30-03-2004,1.0
20010806X01607,Accident,SEA99FA176,1999-05-28,"Coeur d'Alene, ID",United States,47.852222,-116.475278,,,Fatal(2),Destroyed,,N714UZ,CESSNA,152,No,1.0,Reciprocating,,,Instructional,,2.0,0.0,0.0,0.0,,Climb,Probable Cause,18-06-2002,2.0
20001212X19017,Accident,LAX99FA218B,1999-06-06,"LOS ANGELES, CA",United States,33.938611,-118.408889,LAX,Los Angeles International,Non-Fatal,Substantial,,F-GTOM,BOEING,747-SP,No,4.0,Turbo Fan,,SCHD,Unknown,,0.0,0.0,0.0,699.0,VMC,Standing,Probable Cause,25-11-2003,0.0
20001212X19017,Accident,LAX99FA218A,1999-06-06,"LOS ANGELES, CA",United States,33.938611,-118.408889,LAX,Los Angeles International,Non-Fatal,Minor,,N751PR,BOEING,747-4F6B,No,4.0,Turbo Fan,,SCHD,Unknown,"Philippine Airlines, Inc.",0.0,0.0,0.0,699.0,VMC,Taxi,Probable Cause,25-11-2003,0.0
20001212X19310,Accident,LAX99MA251,1999-07-13,"MINDEN, NV",United States,38.981667,-119.672778,,,Fatal(2),Destroyed,,N807BB,SCHEMPP-HIRTH,NIMBUS 4DM,No,1.0,Reciprocating,,,Personal,,2.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,30-09-2002,2.0
20001212X19975,Accident,LAX00FA017,1999-10-15,"Ventura, CA",United States,34.294444,-119.335555,,,Fatal(2),Destroyed,,N5169B,CESSNA,152,No,1.0,Reciprocating,,,Personal,,2.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,25-11-2003,2.0
